Id,Year,Post,SDG_0,SDG_1,SDG_2,SDG_3,SDG_4,SDG_5,SDG_6,SDG_7,SDG_8,SDG_9,SDG_10,SDG_11,SDG_12,SDG_13,SDG_14,SDG_15,SDG_16
DZA_67_2012,2012,Minister for Foreign Affairs,0.004442828241735697,0.11890340596437454,0.04175519198179245,0.015493316575884819,0.024320591241121292,0.13253994286060333,0.009491642005741596,0.013076093047857285,0.050537656992673874,0.008142266422510147,0.21039363741874695,0.011509831994771957,0.020925698801875114,0.02244739793241024,0.012785268947482109,0.009579619392752647,0.29365554451942444
PRK_67_2012,2012,Minister for Foreign Affairs,0.0008201634627766907,0.0008054925710894167,0.0005996831459924579,0.0003486603673081845,0.0010191837791353464,0.0011747111566364765,0.00038753735134378076,0.0005054275970906019,0.0003643500676844269,0.0005620919400826097,0.0008877931395545602,0.0007777936407364905,0.0008783822413533926,0.0003404808812774718,0.0005600768490694463,0.0007367433281615376,0.989231526851654
LKA_67_2012,2012,Minister for Foreign Affairs,0.0006913880934007466,0.0007223868742585182,0.0005295515875332057,0.00031390099320560694,0.000502685725223273,0.0008280611364170909,0.00030207636882551014,0.0003086588403675705,0.0003148888936266303,0.00043737556552514434,0.00064996158471331,0.00045830357703380287,0.0006161901983432472,0.0002843138063326478,0.0005194629193283617,0.0005697566666640341,0.9919511079788208
POL_67_2012,2012,President,0.0006929408409632742,0.0006111162365414202,0.00047581136459484696,0.00029393768636509776,0.0005718954489566386,0.0008782868389971554,0.0003020677831955254,0.0003245913831051439,0.0002824655675794929,0.0004266335454303771,0.0006459159194491804,0.0005460554966703057,0.0006080362945795059,0.00027721599326469004,0.00043147715041413903,0.000600718951318413,0.9920308589935303
PHL_67_2012,2012,Minister for Foreign Affairs,0.0006353558273985982,0.0005393275059759617,0.0003912591200787574,0.00025480519980192184,0.0004495074972510338,0.0007337602437473834,0.00024217137251980603,0.00027627000235952437,0.0002634176053106785,0.0003508640802465379,0.0005433449987322092,0.0004779361479450017,0.0005351313739083707,0.0002199094305979088,0.0003990960540249944,0.0005611392552964389,0.993126630783081
BGR_67_2012,2012,President,0.0008283287170343101,0.0008011137833818793,0.0005172623204998672,0.0003442965680733323,0.0008948288741521537,0.0012019966961815953,0.000343642255757004,0.00045960393617860973,0.0003118870663456619,0.0005172361270524561,0.0007711012731306255,0.0006706635467708111,0.0007808979135006666,0.0003351349732838571,0.0005539859994314611,0.0006562995258718729,0.9900117516517639
GBR_67_2012,2012,Prime Minister,0.0010521545773372054,0.001568218576721847,0.0007727991905994713,0.0005094548687338829,0.001137390499934554,0.0019681830890476704,0.00041405766387470067,0.0005636626738123596,0.0004979854566045105,0.0006932283868081868,0.0016068361001089215,0.0007918819319456816,0.0011122901923954487,0.0004932414158247411,0.0006641946383751929,0.0007649202016182244,0.9853894710540771
ECU_67_2012,2012,Minister for Foreign Affairs,0.0007506502442993224,0.0006491636740975082,0.0005632188986055553,0.000335883378284052,0.0006588813848793507,0.0011724057840183377,0.00037257769145071507,0.0003990056866314262,0.00029895376064814627,0.0004078820056747645,0.0007263008155860007,0.0007261861464940012,0.0007831576513126493,0.00030833829077892005,0.00047413905849680305,0.0006793305510655046,0.9906941056251526
BFA_67_2012,2012,Minister for Foreign Affairs,0.002206631237640977,0.009924307465553284,0.015273639000952244,0.00212011206895113,0.00418698089197278,0.008684827014803886,0.0022841356694698334,0.0018483896274119616,0.0024290448054671288,0.0023221299052238464,0.0056653390638530254,0.002422624034807086,0.0027534374967217445,0.002088742097839713,0.0022204285487532616,0.0020489059388637543,0.9315203428268433
PRT_67_2012,2012,UN Representative,0.0007276538526639342,0.0007239552214741707,0.0005091570201329887,0.0003121880872640759,0.0006929730880074203,0.0010510978754609823,0.0003188425616826862,0.00039237982127815485,0.0003012246743310243,0.0004547596035990864,0.0007033174624666572,0.0006321287946775556,0.0007190646720118821,0.0003217544872313738,0.00048361634253524244,0.000609126640483737,0.9910467267036438
