speech_id,country_abb,year,session,period,year_diff,sub_region,inter_region,continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR_73_2018,TUR,2018,73,After,3,Western Asia,Western Asia,Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLW_73_2018,PLW,2018,73,After,3,Micronesia,Micronesia,Oceania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA_73_2018,BRA,2018,73,After,3,Latin America and the Caribbean,South America,Americas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBY_73_2018,LBY,2018,73,After,3,Northern Africa,Northern Africa,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EU_73_2018,EU,2018,73,After,3,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH_73_2018,ETH,2018,73,After,3,Sub-Saharan Africa,Eastern Africa,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOM_73_2018,DOM,2018,73,After,3,Latin America and the Caribbean,Caribbean,Americas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZE_73_2018,CZE,2018,73,After,3,Eastern Europe,Eastern Europe,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP_73_2018,ESP,2018,73,After,3,Southern Europe,Southern Europe,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRT_73_2018,MRT,2018,73,After,3,Sub-Saharan Africa,Western Africa,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI_73_2018,HTI,2018,73,After,3,Latin America and the Caribbean,Caribbean,Americas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAR_73_2018,MAR,2018,73,After,3,Northern Africa,Northern Africa,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MHL_73_2018,MHL,2018,73,After,3,Micronesia,Micronesia,Oceania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN_73_2018,CAN,2018,73,After,3,Northern America,Northern America,Americas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QAT_73_2018,QAT,2018,73,After,3,Western Asia,Western Asia,Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_73_2018,USA,2018,73,After,3,Northern America,Northern America,Americas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZAF_73_2018,ZAF,2018,73,After,3,Sub-Saharan Africa,Southern Africa,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM_73_2018,GTM,2018,73,After,3,Latin America and the Caribbean,Central America,Americas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOZ_73_2018,MOZ,2018,73,After,3,Sub-Saharan Africa,Eastern Africa,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDN_73_2018,SDN,2018,73,After,3,Northern Africa,Northern Africa,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA_73_2018,BWA,2018,73,After,3,Sub-Saharan Africa,Southern Africa,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO_73_2018,TTO,2018,73,After,3,Latin America and the Caribbean,Caribbean,Americas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAB_73_2018,GAB,2018,73,After,3,Sub-Saharan Africa,Middle Africa,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHR_73_2018,BHR,2018,73,After,3,Western Asia,Western Asia,Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND_73_2018,AND,2018,73,After,3,Southern Europe,Southern Europe,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCO_73_2018,MCO,2018,73,After,3,Western Europe,Western Europe,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THA_73_2018,THA,2018,73,After,3,South-eastern Asia,South-eastern Asia,Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
