Series Name,Series Code,country_name,country_abb,2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
GDP per capita (current US$),NY.GDP.PCAP.CD,Hungary,HUN,15772.33008,13077.30547,13217.5046,14234.47158,12984.83657,13715.07036,14294.25842,12717.0386,13104.69955,14621.2396,16425.20503,16786.21364,16131.95404,18755.10235,18355.82781,22147.20973
GDP per capita (current US$),NY.GDP.PCAP.CD,Iceland,ISL,56943.37045,41301.27322,43237.07295,47714.59223,45995.54788,49804.983,54576.74481,52951.68151,61987.92636,72010.14903,74452.18907,68452.23622,59023.56635,69252.31124,75135.09161,78811.05839
GDP per capita (current US$),NY.GDP.PCAP.CD,India,IND,993.5034053,1096.636136,1350.63447,1449.603301,1434.017987,1438.057005,1559.863779,1590.174331,1714.279537,1957.969813,1974.377731,2050.1638,1915.551588,2250.179018,2366.309609,2484.845429
GDP per capita (current US$),NY.GDP.PCAP.CD,Indonesia,IDN,2144.389544,2239.095265,3094.443079,3613.800888,3668.212083,3602.885517,3476.624854,3322.581679,3558.818852,3839.785075,3902.661676,4151.227554,3895.618152,4334.231454,4787.912364,4940.549805
GDP per capita (current US$),NY.GDP.PCAP.CD,"Iran, Islamic Rep.",IRN,5623.911681,5602.556282,6458.573956,8201.581678,8329.002067,6280.681867,5757.543333,4990.936795,5497.243233,5758.590728,3850.751253,3276.753265,2746.419483,4084.200305,4668.457443,4502.546329
GDP per capita (current US$),NY.GDP.PCAP.CD,Iraq,IRQ,4504.508109,3686.402089,4430.426242,5736.898959,6437.502911,6612.902252,6215.986033,4416.942924,4308.848089,4725.193573,5601.467061,5621.181695,4250.742908,4816.784834,6441.917365,5512.47572
GDP per capita (current US$),NY.GDP.PCAP.CD,Ireland,IRL,61353.10656,52133.09062,48663.60044,52219.70573,48943.82065,51496.96169,55752.76498,62179.26427,62784.06569,70150.73702,79446.93911,80848.3019,85973.08849,102001.7982,103983.2913,103684.8808
GDP per capita (current US$),NY.GDP.PCAP.CD,Isle of Man,IMN,72304.98074,66175.25474,70625.20625,77838.37644,79326.3816,83204.69223,91881.07195,84753.51874,82041.67241,83510.2696,89425.83654,87152.46526,79530.56232,94124.26833,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Israel,ISR,30173.36159,28317.04084,31266.60532,34354.71612,33156.22832,36941.84236,38259.6811,36206.52222,37690.47395,41114.78171,42406.84543,44452.23256,44846.7916,52129.51596,54930.93881,52261.67615
GDP per capita (current US$),NY.GDP.PCAP.CD,Italy,ITA,40944.91242,37226.75719,36035.645,38649.63948,35051.52127,35560.08141,35565.72138,30242.38614,30960.73151,32406.72032,34622.16967,33673.75096,31922.91916,36441.0598,35068.83597,38373.16605
